,budget,genres,id,keywords,popularity,release_month,revenue,runtime,title,vote_average,vote_count,won,genre_weight,profit
58,140000000,Action|Comedy|Crime|Thriller,5174,ambassador,22.57178,8,258022233,91.0,Rush Hour 3,6.1,783,0,0.23756906077348067,118022233
59,200000000,Action|Adventure|Science Fiction,14161,civilization|natural disaster|end of the world|disaster|apocalypse|destruction|volcanic eruption|mayan|ark|solar|destruction  of mankind,45.274225,10,769653595,158.0,2012,5.6,4903,0,0.1432517758484609,569653595
60,200000000,Animation|Drama,17979,holiday|based on novel|victorian england|money|christmas eve|scrooge|christmas carol|ghost|lesson|charles dickens|christmas,39.744242,11,325233863,96.0,A Christmas Carol,6.6,1095,0,0.43054459352801894,125233863
61,176000003,Science Fiction|Fantasy|Action|Adventure,76757,jupiter|space|woman director|3d|interspecies romance,85.36908000000001,2,183987723,124.0,Jupiter Ascending,5.2,2768,0,0.154301499605367,7987720
62,180000000,Action|Adventure,258489,africa|feral child|tarzan|jungle|animal attack,42.741719,6,356743061,109.0,The Legend of Tarzan,5.5,2430,0,0.0718232044198895,176743061
63,180000000,Adventure|Family|Fantasy,411,saving the world|witch|based on novel|brother sister relationship|self sacrifice|winter|cupboard|beaver|lion|fairy-tale figure|battle|narnia|fantasy world|duringcreditsstinger,67.391328,12,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,0,0.06629834254143646,568806957
64,178000000,Science Fiction,246655,mutant|supernatural powers|marvel comic|superhero|based on comic book|superhuman|apocalypse|superhero team|world domination|aftercreditsstinger|1980s,139.272042,5,543934787,144.0,X-Men: Apocalypse,6.4,4721,0,0.07142857142857141,365934787
65,185000000,Drama|Action|Crime|Thriller,155,dc comics|crime fighter|secret identity|scarecrow|sadism|chaos|gotham city|vigilante|joker|superhero|based on comic book|tragic hero|organized crime|criminal mastermind|district attorney|imax|super villain|super powers|batman,187.322927,7,1004558444,152.0,The Dark Knight,8.2,12002,0,0.5027624309392266,819558444
66,175000000,Animation|Comedy|Family|Adventure,14160,age difference|central and south america|balloon|animation|floating in the air|duringcreditsstinger|exploring,92.201962,5,735099082,96.0,Up,7.7,6870,0,0.22059984214680345,560099082
67,175000000,Animation|Family|Adventure|Science Fiction,15512,alien|giant robot|duringcreditsstinger,36.167578000000006,3,381509870,94.0,Monsters vs Aliens,6.0,1423,0,0.1981057616416732,206509870
68,140000000,Action|Science Fiction|Adventure,1726,middle east|arms dealer|malibu|marvel comic|superhero|based on comic book|tony stark|iron man|aftercreditsstinger|marvel cinematic universe|counter terrorism|agent coulson,120.725053,4,585174222,126.0,Iron Man,7.4,8776,0,0.1432517758484609,445174222
69,170000000,Adventure|Drama|Family,44826,library|clock|film director|key|toy|boy|love|orphan|robot|automaton|hiding|filmmaking|leg brace|doberman|3d,32.319043,11,185770160,126.0,Hugo,7.0,2141,0,0.41436464088397795,15770160
70,170000000,Action|Adventure|Comedy|Science Fiction|Western,8487,steampunk|based on tv series|steam locomotive|drag,40.748915000000004,6,222104681,106.0,Wild Wild West,5.1,1020,0,0.24822415153906865,52104681
71,145000000,Adventure|Action|Fantasy,1735,,60.034162,7,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,0,0.08287292817679558,256128639
72,175000000,Action|Adventure|Crime|Fantasy|Science Fiction,297761,dc comics|shared universe|anti hero|secret mission|villain|superhero|supervillain|dc extended universe,90.23791999999999,8,745000000,123.0,Suicide Squad,5.9,7458,0,0.21507498026835042,570000000
73,175000000,Fantasy|Comedy|Family,2698,father son relationship|daily life|married couple|support|father|marriage|faith|baustelle|rescue|animal|nature|duringcreditsstinger|noah's ark,27.082182,6,173000000,96.0,Evan Almighty,5.3,1151,0,0.12154696132596685,-2000000
74,178000000,Action|Science Fiction,137113,deja vu|time warp|restart|dystopia|war|alien|military officer|soldier|alien invasion|exoskeleton,79.456485,5,370541256,113.0,Edge of Tomorrow,7.6,4858,0,0.10457774269928964,192541256
75,175000000,Adventure|Action,9804,ocean|tattoo|mutant|water|dystopia|doomsday,44.640291999999995,7,264218220,135.0,Waterworld,5.9,992,0,0.0718232044198895,89218220
76,175000000,Adventure|Action|Thriller|Science Fiction,14869,terrorist|secret|hostage|technology|warhead|government|president|revenge|murder|attack|explosion|scientist|lasers|evil|cobra,32.852443,8,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,0,0.19297553275453827,127469017
77,175000000,Drama|Comedy|Animation|Family,150540,dream|cartoon|imaginary friend|animation|family|moving|kids|unicorn|duringcreditsstinger|3d|emotions,128.65596399999998,6,857611174,94.0,Inside Out,8.0,6560,0,0.5410418310970797,682611174
78,175000000,Family|Adventure|Drama|Fantasy,278927,based on novel|snake|wolf|elephant|tiger|feral child|panther|remake|bear|jungle|talking animal|orphan|animal|talking to animals,94.19931600000001,4,966550600,106.0,The Jungle Book,6.7,2892,0,0.425414364640884,791550600
79,200000000,Adventure|Action|Science Fiction,10138,malibu|marvel comic|superhero|based on comic book|revenge|aftercreditsstinger|marvel cinematic universe,77.30019399999999,4,623933331,124.0,Iron Man 2,6.6,6849,0,0.1432517758484609,423933331
80,170000000,Adventure|Fantasy|Drama,58595,queen|magic|fairy tale|immortality|forest|deception|woman|eternal youth|snow white|evil queen|evil stepmother|imprisoned|sorceress,77.178973,5,396600000,127.0,Snow White and the Huntsman,5.8,3118,0,0.4088397790055249,226600000
81,180000000,Fantasy|Adventure|Action|Family|Romance,102651,fairy tale|villain|sleeping beauty|dark fantasy|based on fairy tale|adaptation|retelling|literary adaptation|3d,110.62064699999999,5,758539785,97.0,Maleficent,7.0,4496,0,0.22099447513812154,578539785
82,170000000,Science Fiction|Action|Drama|Thriller,119450,leader|colony|post-apocalyptic|dystopia|forest|sequel|woods|ape|scientist|monkey|medical research|animal attack|plague|3d,243.79174300000003,6,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,0,0.5134175217048146,540644566
83,27000000,Action|Adventure|Science Fiction|Romance,79698,,2.418535,2,0,109.0,The Lovers,4.8,34,0,0.26479873717442776,-27000000
84,175000000,Drama|Action|Adventure|Fantasy,64686,japan|suicide|samurai|based on true story|samurai sword|ronin|shogun|half breed|3d,41.796339,12,150962475,119.0,47 Ronin,5.9,1326,0,0.4419889502762431,-24037525
85,170000000,Action|Adventure|Science Fiction,100402,washington d.c.|future|shield|marvel comic|superhero|based on comic book|captain america|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe|3d|political thriller,72.22526500000001,3,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,0,0.1432517758484609,544766572
86,165000000,Comedy|Adventure|Fantasy|Animation|Family,10192,ogre|3d,44.041185999999996,5,752600867,93.0,Shrek Forever After,6.0,1959,0,0.23164956590370955,587600867
87,190000000,Adventure|Family|Mystery|Science Fiction,158852,inventor|apocalypse|destiny|imax|dreamer|futuristic car|futuristic city,130.311355,5,209154322,130.0,Tomorrowland,6.2,2846,0,0.13220205209155483,19154322
88,165000000,Adventure|Family|Animation|Action|Comedy,177572,brother brother relationship|hero|talent|revenge|best friend|another dimension|robot|boy genius|hate|aftercreditsstinger|moral dilemma|3d|teen superheroes|dead brother,203.73459,10,652105443,102.0,Big Hero 6,7.8,6135,0,0.2537490134175217,487105443
89,165000000,Family|Animation|Comedy|Adventure,82690,support group|product placement|bullying|racing|arcade|medal|self esteem|curiosity|precocious child|aftercreditsstinger|duringcreditsstinger|first person shooter|glitch|carefree|video gamer|q*bert|interrupted wedding|social reject,62.341073,11,471222889,108.0,Wreck-It Ralph,7.1,4570,0,0.22059984214680345,306222889
90,165000000,Adventure|Animation|Family|Fantasy,5255,santa claus|nerd|faith|gift|bell|beard|north pole|chute|trestle|ticket|christmas,47.323228,11,305875730,100.0,The Polar Express,6.4,1474,0,0.13772691397000789,140875730
91,165000000,Action|Adventure|Science Fiction,47933,alternate history|alien invasion,48.775723,6,389681935,120.0,Independence Day: Resurgence,4.9,2491,0,0.1432517758484609,224681935
92,165000000,Fantasy|Adventure|Animation|Family,10191,flying|blacksmith|arena|island|night|ship|training|village|forest|viking|friendship|ignorance|flight|nest|dragon|battle|combat|well|warrior,67.263269,3,494878759,98.0,How to Train Your Dragon,7.5,4227,0,0.13772691397000786,329878759
93,200000000,Action|Thriller|Science Fiction,296,saving the world|artificial intelligence|man vs machine|cyborg|killer robot|sun glasses|leather jacket|nanotechnology|rocket launcher|firemen|veterinarian|fire engine|dystopia|psychiatrist,69.405188,7,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,0,0.154301499605367,235000000
94,170000000,Action|Science Fiction|Adventure,118340,marvel comic|spaceship|space|outer space|orphan|adventurer|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,481.09862400000003,7,773328629,121.0,Guardians of the Galaxy,7.9,9742,0,0.1432517758484609,603328629
95,165000000,Adventure|Drama|Science Fiction,157336,saving the world|artificial intelligence|father son relationship|single parent|nasa|expedition|wormhole|space travel|famine|black hole|dystopia|race against time|quantum mechanics|spaceship|space|rescue|family relationships|farmhouse|robot|astronaut|scientist|father daughter relationship|single father|farmer|space station|imax|astrophysics|zero gravity|courage|time paradox|relativity,724.247784,11,675120017,169.0,Interstellar,8.1,10867,0,0.4692186266771902,510120017
96,160000000,Action|Thriller|Science Fiction|Mystery|Adventure,27205,loss of lover|dream|kidnapping|sleep|subconsciousness|heist|redemption|female hero,167.58371,7,825532764,148.0,Inception,8.1,13752,0,0.1985003946329913,665532764
97,15000000,Action|Adventure|Drama|Horror|Science Fiction,315011,monster|godzilla|giant monster|destruction|kaiju|toyko,9.476999000000001,7,77000000,120.0,Shin Godzilla,6.5,143,0,0.5737963693764798,62000000
98,250000000,Adventure|Fantasy|Action,49051,riddle|elves|dwarves|orcs|middle-earth (tolkien)|hobbit|mountains|wizard|journey|ring|goblin|courage|giant|tunnel|underground lake|buried treasure|climbing a tree|invisibility|ancient|gnomes,108.849621,11,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,0,0.08287292817679558,771103568
