Year,Ceremony,Award,Winner,Name,Film,Revenue,Budget,Runtime,Vote_average_list,Vote_count,Popularity,Genre
2013,86,Best Picture,0,Philomena ,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers",100129872,12000000,98,7.4,832,6.221,"[{'id': 18, 'name': 'Drama'}]"
2013,86,Best Picture,1,12 Years a Slave ,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",187000000,20000000,134,7.9,5704,14.455,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
2013,86,Best Picture,0,The Wolf of Wall Street ,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers",392000694,100000000,180,7.9,10536,17.63,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
2014,87,Best Picture,0,American Sniper ,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers",542307423,58800000,133,7.4,6640,12.914,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]"
2014,87,Best Picture,1,Birdman or (The Unexpected Virtue of Ignorance) ,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",103215094,18000000,120,7.4,6637,21.877,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
2014,87,Best Picture,0,Boyhood ,"Richard Linklater and Cathleen Sutherland, Producers",44349000,4000000,164,7.5,2743,10.288,"[{'id': 18, 'name': 'Drama'}]"
2014,87,Best Picture,0,The Grand Budapest Hotel ,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers",174600318,30000000,99,8,6954,19.701,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2014,87,Best Picture,0,The Imitation Game ,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers",233555708,14000000,113,8.1,9089,38.347,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]"
2014,87,Best Picture,0,Selma ,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers",66787908,20000000,127,7.5,1177,8.046,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]"
2014,87,Best Picture,0,The Theory of Everything ,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers",123726688,15000000,123,7.9,5464,25.675,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2014,87,Best Picture,0,Whiplash ,"Jason Blum, Helen Estabrook and David Lancaster, Producers",13092000,3300000,107,8.4,6793,23.337,"[{'id': 18, 'name': 'Drama'}]"
2015,88,Best Picture,0,The Big Short,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers",133346506,28000000,131,7.3,3920,13.972,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2015,88,Best Picture,0,Bridge of Spies,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers",165478348,40000000,141,7.2,3799,14.307,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
2015,88,Best Picture,0,Brooklyn,"Finola Dwyer and Amanda Posey, Producers",62076141,11000000,111,7.3,1698,8.983,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2015,88,Best Picture,0,Mad Max: Fury Road,"Doug Mitchell and George Miller, Producers",378858340,150000000,121,7.4,12976,27.339,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
2015,88,Best Picture,0,The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers",630161890,108000000,141,7.7,10698,23.166,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]"
2015,88,Best Picture,0,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers",532950503,135000000,156,7.4,9549,15.009,"[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
2015,88,Best Picture,0,Room,"Ed Guiney, Producer",35401758,6000000,117,8.1,4569,9.31,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2015,88,Best Picture,1,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",88346473,20000000,129,7.8,4187,13.537,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 36, 'name': 'History'}]"
