,Year,Ceremony,Award,Winner,title,production
6609,1989,62,Best Picture,1,Driving Miss Daisy ,"Richard D. Zanuck and Lili Fini Zanuck, Producers"
6610,1989,62,Best Picture,0,Field of Dreams ,"Lawrence Gordon and Charles Gordon, Producers"
6611,1989,62,Best Picture,0,My Left Foot ,"Noel Pearson, Producer"
6716,1990,63,Best Picture,0,Awakenings ,"Walter F. Parkes and Lawrence Lasker, Producers"
6717,1990,63,Best Picture,1,Dances With Wolves ,"Jim Wilson and Kevin Costner, Producers"
6718,1990,63,Best Picture,0,Ghost ,"Lisa Weinstein, Producer"
6719,1990,63,Best Picture,0,"The Godfather, Part III ","Francis Ford Coppola, Producer"
6720,1990,63,Best Picture,0,Good Fellas ,"Irwin Winkler, Producer"
6828,1991,64,Best Picture,0,Beauty and the Beast ,"Don Hahn, Producer"
6829,1991,64,Best Picture,0,Bugsy ,"Mark Johnson, Barry Levinson and Warren Beatty, Producers"
6830,1991,64,Best Picture,0,JFK ,"A. Kitman Ho and Oliver Stone, Producers"
6831,1991,64,Best Picture,0,The Prince of Tides ,"Barbra Streisand and Andrew Karsch, Producers"
6832,1991,64,Best Picture,1,The Silence of the Lambs ,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers"
6939,1992,65,Best Picture,0,The Crying Game ,"Stephen Woolley, Producer"
6940,1992,65,Best Picture,0,A Few Good Men ,"David Brown, Rob Reiner and Andrew Scheinman, Producers"
6941,1992,65,Best Picture,0,Howards End ,"Ismail Merchant, Producer"
6942,1992,65,Best Picture,0,Scent of a Woman ,"Martin Brest, Producer"
6943,1992,65,Best Picture,1,Unforgiven ,"Clint Eastwood, Producer"
7052,1993,66,Best Picture,0,The Fugitive ,"Arnold Kopelson, Producer"
7053,1993,66,Best Picture,0,In the Name of the Father ,"Jim Sheridan, Producer"
7054,1993,66,Best Picture,0,The Piano ,"Jan Chapman, Producer"
7055,1993,66,Best Picture,0,The Remains of the Day ,"Mike Nichols, John Calley and Ismail Merchant, Producers"
7056,1993,66,Best Picture,1,Schindler's List ,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers"
7164,1994,67,Best Picture,1,Forrest Gump ,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers"
7165,1994,67,Best Picture,0,Four Weddings and a Funeral ,"Duncan Kenworthy, Producer"
7166,1994,67,Best Picture,0,Pulp Fiction ,"Lawrence Bender, Producer"
7167,1994,67,Best Picture,0,Quiz Show ,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers"
7168,1994,67,Best Picture,0,The Shawshank Redemption ,"Niki Marvin, Producer"
7282,1995,68,Best Picture,0,Apollo 13 ,"Brian Grazer, Producer"
7283,1995,68,Best Picture,0,Babe ,"George Miller, Doug Mitchell and Bill Miller, Producers"
7284,1995,68,Best Picture,1,Braveheart ,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers"
7285,1995,68,Best Picture,0,The Postman (Il Postino) ,"Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers"
7286,1995,68,Best Picture,0,Sense and Sensibility ,"Lindsay Doran, Producer"
7399,1996,69,Best Picture,1,The English Patient ,"Saul Zaentz, Producer"
7400,1996,69,Best Picture,0,Fargo ,"Ethan Coen, Producer"
7401,1996,69,Best Picture,0,Jerry Maguire ,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers"
7402,1996,69,Best Picture,0,Secrets & Lies ,"Simon Channing-Williams, Producer"
7403,1996,69,Best Picture,0,Shine ,"Jane Scott, Producer"
7517,1997,70,Best Picture,0,As Good as It Gets ,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers"
7518,1997,70,Best Picture,0,The Full Monty ,"Uberto Pasolini, Producer"
7519,1997,70,Best Picture,0,Good Will Hunting ,"Lawrence Bender, Producer"
7520,1997,70,Best Picture,0,L.A. Confidential ,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers"
7521,1997,70,Best Picture,1,Titanic ,"James Cameron and Jon Landau, Producers"
7632,1998,71,Best Picture,0,Elizabeth ,"Alison Owen, Eric Fellner and Tim Bevan, Producers"
7633,1998,71,Best Picture,0,Life Is Beautiful ,"Elda Ferri and Gianluigi Braschi, Producers"
7634,1998,71,Best Picture,0,Saving Private Ryan ,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers"
